query	COG_category
group_1075	S
group_1076	E
group_1077	-
group_1078	F
group_1079	E
group_108	-
group_1080	S
group_1081	QT
group_1082	QT
group_1084	G
group_1085	H
group_1086	L
group_1087	-
group_1088	L
group_1089	S
group_109	-
group_1090	E
group_1091	-
group_1092	C
group_1093	D
group_1094	P
group_1095	S
group_1096	M
group_1097	I
group_1099	S
group_110	K
group_1100	S
group_1101	M
group_1102	P
group_1104	E
group_1105	M
group_1106	G
group_1108	J
group_111	S
group_1111	E
group_1112	S
group_1113	-
group_1114	-
group_1115	E
group_1116	C
group_1119	S
group_112	L
group_1120	C
group_1122	S
group_1123	M
group_1124	C
group_1126	S
group_1127	L
group_1128	EGP
group_1129	D
group_113	S
group_1130	M
group_1131	EG
group_1132	S
group_1133	S
group_1134	E
group_1135	P
group_1136	S
group_1137	E
group_1138	E
group_1139	E
group_114	J
group_1140	S
group_1141	E
group_1143	S
group_1144	J
group_1145	J
group_1146	-
group_1147	S
group_1148	I
group_115	L
group_1151	C
group_1152	S
group_1153	V
group_1154	EGP
group_1155	EGP
group_1156	EGP
group_1157	S
group_1158	-
group_1159	EGP
group_1160	EGP
group_1161	D
group_1162	KLT
group_1163	DM
group_1164	EGP
group_1166	C
group_1167	E
group_1168	EGP
group_1169	E
group_1170	S
group_1171	C
group_1172	P
group_1173	L
group_1174	S
group_1175	E
group_1177	S
group_1178	E
group_1179	H
group_1181	S
group_1182	E
group_1183	E
group_1185	-
group_1186	E
group_1187	E
group_1188	M
group_1189	S
group_119	E
group_1190	M
group_1191	K
group_1192	M
group_1194	L
group_1196	S
group_1197	L
group_1198	M
group_1199	C
group_120	V
group_1200	L
group_1201	S
group_1202	E
group_1203	L
group_1204	P
group_1205	S
group_1206	L
group_1207	F
group_1208	J
group_1209	P
group_121	GT
group_1210	EGP
group_1211	L
group_1212	M
group_1213	O
group_1214	M
group_1215	C
group_1216	F
group_1218	L
group_1219	F
group_122	G
group_1221	V
group_1222	L
group_1223	H
group_1224	S
group_1225	EGP
group_1226	L
group_1227	V
group_1228	C
group_1229	G
group_123	-
group_1230	EGP
group_1231	EGP
group_1232	S
group_1233	M
group_1234	E
group_1235	QT
group_1236	C
group_1237	-
group_1238	G
group_1239	T
group_124	D
group_1240	M
group_1241	M
group_1242	I
group_1243	P
group_1244	QT
group_1245	S
group_1246	-
group_1247	M
group_1248	V
group_1249	S
group_125	H
group_1250	E
group_1251	M
group_1252	M
group_1253	E
group_1254	E
group_1255	E
group_1256	EGP
group_1257	M
group_1258	L
group_1259	M
group_126	L
group_1261	-
group_1262	S
group_1263	-
group_1264	S
group_1265	S
group_1266	EJ
group_1267	-
group_1268	V
group_1269	E
group_127	S
group_1271	CH
group_1272	E
group_1273	K
group_1275	HJ
group_1277	L
group_1278	L
group_1279	V
group_1281	J
group_1282	I
group_1283	O
group_1286	EGP
group_1287	E
group_1288	E
group_1289	L
group_129	S
group_1290	U
group_1291	P
group_1292	I
group_1293	L
group_1294	J
group_1295	S
group_1296	E
group_1297	J
group_1298	V
group_1299	M
group_130	T
group_1300	V
group_1301	-
group_1302	U
group_1303	V
group_1304	GL
group_1305	D
group_1306	C
group_1307	S
group_1308	S
group_1309	V
group_131	G
group_1310	M
group_1311	S
group_1312	S
group_1313	S
group_1314	L
group_1315	K
group_1317	V
group_1318	H
group_1319	EGP
group_132	L
group_1320	E
group_1321	V
group_1322	-
group_1323	-
group_1324	T
group_1325	L
group_1326	E
group_1327	S
group_1328	S
group_1329	I
group_1330	-
group_1331	P
group_1332	-
group_1333	EGP
group_1334	D
group_1336	V
group_1337	E
group_1338	P
group_1339	V
group_134	P
group_1340	G
group_1341	M
group_1342	G
group_1343	S
group_1344	S
group_1345	EGP
group_1346	G
group_1347	V
group_1348	O
group_1349	C
group_135	S
group_1350	P
group_1351	K
group_1352	-
group_1353	S
group_1355	EGP
group_1356	L
group_1357	V
group_1359	E
group_136	S
group_1360	S
group_1361	P
group_1362	EGP
group_1364	S
group_1365	S
group_1366	E
group_1367	L
group_1368	L
group_1369	HJ
group_137	EGP
group_1370	J
group_1371	P
group_1372	-
group_1373	V
group_1374	S
group_1375	CE
group_1376	C
group_1377	L
group_1378	L
group_1379	-
group_138	S
group_1380	H
group_1381	P
group_1382	L
group_1384	-
group_1385	S
group_1387	-
group_1388	L
group_1389	T
group_139	C
group_1390	H
group_1391	T
group_1393	S
group_1394	S
group_1396	O
group_1398	E
group_1399	L
group_14	S
group_140	P
group_1400	P
group_1401	L
group_1402	V
group_1403	S
group_1404	S
group_1405	P
group_1406	-
group_1407	S
group_1408	F
group_1409	V
group_141	K
group_1410	S
group_1411	L
group_1412	P
group_1413	E
group_1414	V
group_1415	EGP
group_1416	P
group_1417	C
group_1418	E
group_1419	V
group_142	C
group_1420	S
group_1421	-
group_1422	S
group_1423	L
group_1424	F
group_1425	F
group_1426	L
group_1428	M
group_1429	L
group_143	L
group_1430	V
group_1431	V
group_1432	Q
group_1433	S
group_1434	HQ
group_1435	M
group_1436	P
group_1437	EH
group_1438	M
group_1439	O
group_144	-
group_1440	T
group_1441	D
group_1442	K
group_1443	S
group_1444	L
group_1445	G
group_1447	C
group_1448	O
group_145	L
group_1450	L
group_1451	S
group_1452	I
group_1453	L
group_1454	S
group_1455	L
group_1456	P
group_1457	P
group_1458	H
group_1459	L
group_1460	S
group_1461	-
group_1462	-
group_1463	S
group_1464	C
group_1465	H
group_1466	P
group_1469	S
group_147	L
group_1470	C
group_1471	H
group_1472	E
group_1473	C
group_1474	S
group_1475	S
group_1476	P
group_148	V
group_1480	C
group_1481	F
group_1482	C
group_1483	S
group_1484	T
group_1485	P
group_1486	E
group_1487	P
group_1488	E
group_1489	V
group_149	S
group_1491	M
group_1492	M
group_1493	E
group_1494	Q
group_1496	S
group_1497	K
group_1498	L
group_1499	E
group_15	S
group_150	J
group_1501	P
group_1502	P
group_1503	M
group_1504	-
group_1505	F
group_1506	I
group_1507	E
group_151	L
group_1510	I
group_1511	P
group_1513	P
group_1514	CE
group_1515	C
group_1516	S
group_1517	P
group_1518	K
group_1519	V
group_152	S
group_1520	S
group_1521	P
group_1522	I
group_1523	H
group_1524	P
group_1525	V
group_1526	-
group_1527	H
group_1528	P
group_1529	L
group_153	E
group_1530	L
group_1531	H
group_1532	I
group_1533	S
group_1534	G
group_1535	O
group_1536	L
group_1537	L
group_1538	S
group_1539	V
group_154	F
group_1541	HJ
group_1542	S
group_1543	S
group_1544	P
group_1545	P
group_1546	S
group_1547	V
group_1548	V
group_1549	K
group_155	C
group_1550	P
group_1551	S
group_1552	E
group_1553	V
group_1554	V
group_1555	K
group_1556	C
group_1557	G
group_1558	V
group_1559	P
group_156	D
group_1560	P
group_1561	V
group_1562	Q
group_1563	-
group_1564	H
group_1565	S
group_1566	T
group_1567	S
group_1568	H
group_1569	C
group_157	IQ
group_1570	S
group_1572	L
group_1573	S
group_1574	T
group_1575	-
group_1576	K
group_1577	O
group_1578	FP
group_1579	S
group_158	EGP
group_1580	S
group_1581	P
group_1582	-
group_1583	P
group_1584	-
group_1585	S
group_1587	O
group_1588	K
group_1589	C
group_159	S
group_1590	C
group_1591	M
group_1592	K
group_1593	K
group_1594	S
group_1595	K
group_1596	L
group_1599	P
group_16	E
group_160	S
group_1602	S
group_1603	M
group_1604	C
group_1605	-
group_1606	P
group_1607	K
group_1608	P
group_1609	-
group_161	S
group_1610	P
group_1611	S
group_1612	G
group_1613	F
group_1614	GM
group_1615	F
group_1616	GM
group_1617	O
group_1619	G
group_162	C
group_1620	S
group_1621	EH
group_1622	M
group_1623	EH
group_1624	S
group_1625	-
group_1626	-
group_1627	-
group_1628	V
group_1629	V
group_163	S
group_1631	S
group_1633	L
group_1634	P
group_1635	M
group_1636	F
group_1638	C
group_1639	-
group_164	L
group_1640	P
group_1641	S
group_1642	P
group_1643	V
group_1644	P
group_1645	P
group_1646	M
group_1647	S
group_1648	K
group_1649	L
group_165	P
group_1650	G
group_1652	U
group_1653	GM
group_1656	-
group_1657	L
group_1658	J
group_1659	S
group_166	Q
group_1660	-
group_1661	-
group_1662	L
group_1663	EG
group_1664	C
group_1665	M
group_1666	H
group_1667	-
group_1668	-
group_1669	M
group_167	V
group_1670	M
group_1672	GM
group_1673	S
group_1675	KL
group_1676	S
group_1677	G
group_1678	I
group_1679	K
group_168	-
group_1680	H
group_1681	-
group_1683	L
group_1684	S
group_1685	H
group_1686	S
group_1687	M
group_1688	K
group_1689	G
group_169	E
group_1690	K
group_1691	-
group_1692	T
group_1693	C
group_1694	V
group_1695	-
group_1696	L
group_1697	S
group_1698	M
group_17	L
group_170	L
group_1700	L
group_1701	S
group_1702	P
group_1703	P
group_1705	S
group_1706	P
group_1707	U
group_1708	-
group_1709	GM
group_1710	-
group_1711	C
group_1713	S
group_1714	L
group_1715	-
group_1716	C
group_1717	P
group_1718	M
group_1719	C
group_172	-
group_1720	S
group_1721	L
group_1722	D
group_1723	V
group_1724	C
group_1725	L
group_1726	H
group_1727	D
group_1728	L
group_1729	S
group_173	-
group_1731	S
group_1732	V
group_1733	M
group_1734	L
group_1735	L
group_1736	-
group_1738	-
group_1739	S
group_174	-
group_1740	K
group_1741	D
group_1742	-
group_1744	GM
group_1745	M
group_1747	EH
group_1748	M
group_1749	H
group_175	K
group_1750	P
group_1751	L
group_1753	S
group_1754	S
group_1755	P
group_1756	-
group_1757	S
group_1758	GM
group_1759	GM
group_176	K
group_1760	-
group_1761	GM
group_1762	-
group_1763	E
group_1764	L
group_1766	K
group_1767	-
group_1768	GM
group_1769	V
group_177	P
group_1772	-
group_1773	S
group_1774	S
group_1775	D
group_1776	-
group_1777	-
group_1778	S
group_1779	-
group_178	S
group_1780	-
group_1781	S
group_1782	D
group_1783	S
group_1784	GM
group_1785	F
group_1786	C
group_1787	CP
group_1788	-
group_1789	L
group_179	I
group_1790	GM
group_1791	L
group_1792	L
group_1793	P
group_1794	K
group_1795	GM
group_1796	K
group_1797	S
group_1798	S
group_1799	J
group_18	FP
group_180	V
group_1800	V
group_1801	J
group_1802	C
group_1803	S
group_1804	O
group_1805	G
group_1807	S
group_1808	L
group_1809	V
group_181	IQ
group_1811	S
group_1812	S
group_1813	L
group_1815	-
group_1816	-
group_1817	D
group_1818	-
group_1819	P
group_182	L
group_1820	-
group_1821	-
group_1822	S
group_1823	V
group_1824	P
group_1825	S
group_1826	P
group_1827	P
group_1828	S
group_1829	H
group_183	K
group_1830	P
group_1831	L
group_1832	J
group_1833	P
group_1834	S
group_1835	S
group_1836	Q
group_1837	L
group_1838	E
group_1839	Q
group_184	L
group_1841	HJ
group_1842	-
group_1843	-
group_1844	Q
group_1845	E
group_1846	-
group_1847	M
group_1848	J
group_1849	S
group_185	I
group_1850	J
group_1851	GM
group_1852	M
group_1853	S
group_1854	V
group_1855	HP
group_1856	-
group_1857	GM
group_1858	S
group_1859	P
group_186	S
group_1860	-
group_1861	L
group_1862	E
group_1863	P
group_1864	S
group_1865	D
group_1866	M
group_1868	O
group_1869	P
group_187	H
group_1870	-
group_1871	L
group_1872	-
group_1873	L
group_1874	P
group_1875	S
group_1876	-
group_1877	-
group_1878	K
group_188	M
group_1881	-
group_1882	G
group_1883	L
group_1884	I
group_1885	P
group_1887	-
group_1888	-
group_1889	S
group_189	F
group_1890	-
group_1891	EH
group_1892	S
group_1893	L
group_1894	-
group_1895	-
group_1897	-
group_1898	S
group_1899	S
group_19	-
group_190	T
group_1900	D
group_1901	H
group_1903	P
group_1905	S
group_1906	P
group_1907	K
group_1908	-
group_191	-
group_1910	HP
group_1911	M
group_1912	S
group_1915	S
group_1916	L
group_1917	-
group_1918	-
group_1919	P
group_192	-
group_1920	L
group_1921	S
group_1922	S
group_1923	M
group_1924	S
group_1925	S
group_1926	E
group_1929	K
group_193	E
group_1930	S
group_1931	-
group_1932	O
group_1933	H
group_1934	-
group_1935	L
group_1936	L
group_1937	-
group_1938	V
group_1939	P
group_194	-
group_1940	-
group_1941	V
group_1942	D
group_1945	L
group_1946	H
group_1947	-
group_1949	S
group_195	L
group_1951	S
group_1952	M
group_1953	J
group_1954	I
group_1957	-
group_1958	S
group_1959	I
group_196	S
group_1960	S
group_1961	V
group_1962	S
group_1963	-
group_1964	KT
group_1965	S
group_1967	V
group_1969	V
group_197	E
group_1970	L
group_1971	K
group_1972	T
group_1973	S
group_1974	S
group_1975	E
group_1976	-
group_1978	P
group_1979	S
group_198	IQ
group_1981	-
group_1982	S
group_1983	E
group_1985	G
group_1986	M
group_1987	S
group_1988	L
group_1989	K
group_199	S
group_1990	KT
group_1991	V
group_1992	V
group_1993	-
group_1994	V
group_1995	L
group_1996	H
group_1997	J
group_1999	L
group_20	L
group_200	S
group_2000	-
group_2001	L
group_2002	S
group_2003	S
group_2005	S
group_2006	P
group_2007	-
group_2008	T
group_2009	T
group_201	E
group_2010	-
group_2011	P
group_2012	G
group_2013	S
group_2014	H
group_2016	T
group_2018	-
group_2019	C
group_202	I
group_2020	S
group_2021	F
group_2022	E
group_2024	IQ
group_2025	K
group_2028	L
group_2029	S
group_203	-
group_2030	K
group_2031	-
group_2032	S
group_2033	L
group_2034	E
group_2035	V
group_2036	K
group_2037	K
group_2038	O
group_204	S
group_2040	V
group_2041	-
group_2043	K
group_2044	C
group_2045	L
group_2046	M
group_2047	K
group_2048	S
group_2049	P
group_205	L
group_2050	S
group_2051	V
group_2052	L
group_2053	D
group_2054	-
group_2056	-
group_2057	S
group_2058	S
group_2059	S
group_206	M
group_2061	H
group_2064	-
group_2065	T
group_2066	KT
group_2068	K
group_2069	V
group_207	S
group_2072	S
group_2073	J
group_2074	L
group_2076	-
group_2078	S
group_2079	S
group_208	E
group_2080	S
group_2081	-
group_2082	E
group_2083	C
group_2084	EH
group_2085	F
group_2086	L
group_2087	L
group_2088	L
group_2089	V
group_209	K
group_2090	S
group_2091	-
group_2092	S
group_2094	I
group_2095	K
group_2096	V
group_2098	S
group_2099	L
group_21	L
group_210	T
group_2100	E
group_2102	V
group_2103	L
group_2105	S
group_2106	S
group_2107	-
group_2108	-
group_2109	S
group_211	M
group_2111	-
group_2112	M
group_2113	L
group_2114	-
group_2115	-
group_2117	O
group_212	EQ
group_2122	K
group_2124	-
group_2125	Q
group_2126	O
group_2127	S
group_2128	-
group_2129	HJ
group_213	S
group_2130	L
group_2131	V
group_2132	L
group_2135	M
group_2136	M
group_2137	-
group_2139	E
group_214	E
group_2140	-
group_2141	K
group_2142	K
group_2143	K
group_2144	K
group_2145	L
group_2146	S
group_2147	-
group_2148	-
group_215	S
group_2150	-
group_2152	O
group_2153	S
group_2157	M
group_2159	M
group_216	I
group_2161	L
group_2163	L
group_2164	S
group_2166	C
group_2167	P
group_2169	S
group_217	S
group_2171	Q
group_2172	-
group_2173	P
group_2174	K
group_2175	K
group_2176	F
group_2177	D
group_2178	J
group_2179	K
group_218	K
group_2180	E
group_2181	L
group_2183	-
group_2184	E
group_2185	-
group_2188	S
group_2189	K
group_2190	K
group_2193	C
group_2194	S
group_2195	F
group_2196	KLT
group_2197	CO
group_2198	L
group_2199	S
group_22	L
group_220	D
group_2201	S
group_2202	S
group_2203	L
group_2205	-
group_2206	H
group_2207	-
group_2208	-
group_2209	S
group_221	J
group_2210	-
group_2211	L
group_2212	K
group_2213	-
group_2214	-
group_2215	K
group_2216	-
group_2217	E
group_2219	K
group_222	G
group_2220	L
group_2221	K
group_2225	Q
group_2226	O
group_2227	-
group_2229	P
group_223	G
group_2230	S
group_2231	S
group_2232	-
group_2233	K
group_2236	K
group_2237	S
group_2238	CO
group_2239	C
group_224	S
group_2240	K
group_2242	I
group_2243	K
group_2247	D
group_2249	S
group_225	J
group_2250	-
group_2251	-
group_2252	J
group_2255	S
group_226	S
group_2262	-
group_2263	L
group_2264	S
group_2265	L
group_2266	S
group_2267	-
group_2268	K
group_2269	L
group_227	KT
group_2270	S
group_2272	K
group_2274	-
group_2275	L
group_2276	L
group_2277	L
group_2278	O
group_228	P
group_2281	J
group_2282	-
group_2285	S
group_2287	L
group_2288	K
group_2289	S
group_229	S
group_2291	V
group_2292	-
group_2293	T
group_2294	Q
group_2296	-
group_2298	S
group_23	L
group_230	J
group_2300	S
group_2301	EGP
group_2302	J
group_2303	S
group_2304	S
group_2309	K
group_231	M
group_2310	-
group_2311	S
group_2312	-
group_2313	-
group_2314	K
group_2315	-
group_2317	V
group_2318	L
group_2319	-
group_232	M
group_2321	S
group_2323	S
group_2324	S
group_2325	S
group_2326	L
group_2327	O
group_2329	S
group_233	S
group_2330	S
group_2331	E
group_2333	S
group_2334	L
group_2335	K
group_2336	-
group_2337	M
group_2338	-
group_234	S
group_2340	-
group_2341	L
group_2342	J
group_2343	G
group_2344	M
group_2345	KT
group_2347	-
group_235	L
group_2351	-
group_2353	-
group_2354	P
group_2355	L
group_2356	O
group_236	-
group_2361	S
group_2362	K
group_2363	S
group_2364	K
group_2365	P
group_2366	T
group_2367	-
group_2368	K
group_2369	-
group_237	-
group_2370	K
group_2371	-
group_2373	L
group_2374	S
group_2375	S
group_2376	S
group_2378	L
group_2379	K
group_238	C
group_2380	-
group_2381	S
group_2383	S
group_2384	I
group_2385	S
group_2386	S
group_2387	L
group_2388	L
group_2389	H
group_239	S
group_2390	G
group_2391	-
group_2392	H
group_2393	S
group_2394	S
group_2395	K
group_2398	-
group_2399	-
group_24	S
group_240	L
group_2401	S
group_2402	-
group_2403	S
group_2404	-
group_2406	S
group_2407	-
group_2408	-
group_241	P
group_2410	S
group_2411	S
group_2412	-
group_2413	V
group_2414	-
group_2417	-
group_2418	V
group_2419	-
group_242	S
group_2420	L
group_2421	-
group_2423	H
group_2424	-
group_2425	-
group_2426	-
group_2427	K
group_2428	L
group_2429	L
group_243	-
group_2430	K
group_2432	-
group_2433	-
group_2434	L
group_2435	S
group_2436	L
group_2437	-
group_2438	K
group_244	NU
group_2441	S
group_2442	-
group_2443	Q
group_2444	S
group_2446	S
group_2448	-
group_2449	J
group_245	-
group_2451	-
group_2452	L
group_2453	S
group_2455	S
group_2456	L
group_2457	K
group_2458	S
group_246	P
group_2460	-
group_2461	-
group_2462	S
group_2463	-
group_2464	FJ
group_2465	F
group_2466	J
group_2467	L
group_247	O
group_2471	S
group_2474	L
group_2475	NOU
group_2476	S
group_2477	S
group_2479	-
group_248	E
group_2480	-
group_2481	S
group_2482	K
group_2483	L
group_2484	-
group_2486	T
group_2487	-
group_2488	L
group_2489	L
group_249	GK
group_2490	S
group_2491	S
group_2492	S
group_2493	L
group_2494	C
group_250	S
group_2501	-
group_2502	O
group_2503	P
group_2505	-
group_2506	-
group_2508	K
group_2509	-
group_251	S
group_2510	-
group_2511	S
group_2513	-
group_2514	S
group_2515	S
group_2516	F
group_2518	L
group_252	S
group_2520	O
group_2521	-
group_2522	-
group_2523	E
group_2527	-
group_2528	-
group_2529	S
group_253	V
group_2530	V
group_2531	L
group_2534	-
group_2535	F
group_2536	S
group_2537	S
group_2538	L
group_2539	S
group_254	S
group_2540	L
group_2541	V
group_2542	K
group_2543	-
group_2546	I
group_2547	S
group_2548	-
group_2549	M
group_255	-
group_2550	-
group_2552	L
group_2553	L
group_2554	S
group_2555	S
group_2556	S
group_2557	L
group_2558	S
group_2559	S
group_256	L
group_2560	K
group_2561	-
group_2562	S
group_2563	S
group_2564	K
group_2565	L
group_2566	L
group_2568	-
group_2569	L
group_257	K
group_2570	-
group_2571	F
group_2572	S
group_2574	-
group_2575	S
group_2576	-
group_2577	K
group_258	J
group_2580	K
group_2581	-
group_2582	K
group_2583	-
group_2584	-
group_2585	K
group_2586	L
group_2587	J
group_2588	-
group_259	G
group_2590	-
group_2591	L
group_2592	S
group_2593	K
group_2594	-
group_2596	L
group_2597	S
group_2598	-
group_26	M
group_260	S
group_2600	-
group_2601	-
group_2602	I
group_2603	-
group_2604	E
group_2605	-
group_2606	K
group_2607	-
group_2608	-
group_2609	E
group_261	F
group_2610	-
group_2614	S
group_2617	-
group_2618	V
group_2619	K
group_262	V
group_2620	K
group_2622	L
group_2624	S
group_2626	EGP
group_2627	-
group_2629	S
group_263	S
group_2630	-
group_2631	S
group_2634	-
group_2636	E
group_2637	-
group_2638	V
group_2639	-
group_264	L
group_2640	L
group_2641	-
group_2642	-
group_2644	S
group_2649	S
group_265	S
group_2650	K
group_2651	L
group_2653	E
group_2654	-
group_2656	P
group_2657	S
group_2658	S
group_266	S
group_2663	-
group_2664	V
group_2665	-
group_2666	L
group_2667	-
group_2668	S
group_2669	K
group_267	O
group_2670	E
group_2671	O
group_2673	O
group_2676	K
group_268	S
group_2682	-
group_2683	-
group_2684	-
group_2685	-
group_2686	L
group_2687	C
group_2688	-
group_269	S
group_2690	K
group_2691	V
group_2692	-
group_2694	-
group_2695	-
group_2696	-
group_2697	K
group_2698	-
group_27	-
group_270	S
group_2700	-
group_2702	K
group_2703	-
group_2704	C
group_2705	S
group_2706	-
group_2708	-
group_2709	S
group_271	K
group_2710	L
group_2711	S
group_2712	V
group_2713	S
group_2715	L
group_2716	-
group_2718	-
group_272	H
group_2720	S
group_2721	C
group_2722	-
group_2723	L
group_2724	L
group_2726	-
group_2727	E
group_273	O
group_2730	L
group_2731	-
group_2732	L
group_2735	-
group_2737	-
group_2738	K
group_2739	S
group_274	P
group_2742	-
group_2743	S
group_2744	-
group_2745	E
group_2746	-
group_2747	S
group_2748	L
group_2749	-
group_275	S
group_2750	K
group_2753	C
group_2754	S
group_2756	-
group_2757	L
group_2759	-
group_276	-
group_2760	-
group_2761	L
group_2762	-
group_2764	S
group_2767	L
group_277	K
group_2770	-
group_2771	S
group_2772	L
group_2774	L
group_2775	L
group_2777	L
group_2779	L
group_278	H
group_2780	L
group_2781	K
group_2784	L
group_2786	-
group_2788	S
group_279	S
group_2790	L
group_2791	-
group_2792	K
group_2796	M
group_2797	L
group_2798	-
group_28	-
group_280	J
group_2801	L
group_2803	L
group_2804	-
group_2806	-
group_2807	-
group_281	-
group_2812	K
group_2813	I
group_2815	-
group_2816	-
group_282	S
group_2820	L
group_2822	S
group_2823	-
group_2824	-
group_2825	-
group_2826	L
group_2827	K
group_2829	-
group_283	V
group_2832	L
group_2833	L
group_2836	L
group_2837	-
group_2838	IQ
group_2839	L
group_284	H
group_2840	S
group_2841	S
group_2842	IQ
group_2843	S
group_2844	L
group_2846	S
group_2847	K
group_2848	L
group_2849	-
group_285	L
group_2850	-
group_2851	-
group_2852	-
group_2853	-
group_2854	S
group_2855	L
group_2859	L
group_286	M
group_2860	S
group_2861	-
group_2862	K
group_2863	S
group_2864	V
group_2865	-
group_2866	G
group_2867	L
group_2868	S
group_2869	K
group_287	K
group_2871	E
group_2875	K
group_2878	G
group_2879	L
group_288	S
group_2881	L
group_2882	-
group_2883	S
group_2884	L
group_2887	-
group_2889	E
group_289	M
group_2895	J
group_2896	-
group_2897	-
group_2899	L
group_2902	L
group_2905	S
group_2906	-
group_2907	-
group_2908	-
group_291	S
group_2911	L
group_2915	-
group_2916	L
group_2918	-
group_292	S
group_2920	L
group_2921	L
group_2924	L
group_2928	L
group_293	E
group_2930	-
group_2931	DJ
group_2933	E
group_2934	-
group_2936	L
group_2937	S
group_294	S
group_2940	-
group_2941	-
group_2942	-
group_2943	H
group_2944	-
group_2945	S
group_2946	L
group_2948	L
group_295	L
group_2955	S
group_2956	-
group_2957	-
group_2958	K
