Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Ctub_58D11_acrpm.spades.pilon.fasta_genome,Ctub_DM01A02_acrpe.spades.pilon.fasta_genome,Ctub_DM01A08_acvsp.spades.pilon.fasta_genome,Ctub_DM01E11_acrpd.spades.pilon.fasta_genome,Ctub_DM06H05_acvsn.spades.pilon.fasta_genome,Ctub_DM12B01_acvst.spades.pilon.fasta_genome,Ctub_DM18A08_acvth.spades.pilon.fasta_genome,Ctub_DM18C03_acvti.spades.pilon.fasta_genome,Ctub_DM21B10_acrox.spades.pilon.fasta_genome,Ctub_DM21C09_acvtj.spades.pilon.fasta_genome,Ctub_DM21C11_acrow.spades.pilon.fasta_genome,Ctub_DM24D01_acvsz.spades.pilon.fasta_genome,Ctub_DM28E02_acrpb.spades.pilon.fasta_genome,Ctub_DM31F07_acvta.spades.pilon.fasta_genome,Ctub_DM31F11_acvtb.spades.pilon.fasta_genome,Ctub_DM31G10_acvtk.spades.pilon.fasta_genome,Ctub_DM32D06_acrpp.spades.pilon.fasta_genome,Ctub_DM32E08_acrpq.spades.pilon.fasta_genome,Ctub_DM33A08_acvtm.spades.pilon.fasta_genome,Ctub_DM33G03_acvtd.spades.pilon.fasta_genome,Ctub_DM41C07_acvtl.spades.pilon.fasta_genome,Ctub_DM41D05_acvtg.spades.pilon.fasta_genome,GCF_000159115.1_ASM15911v1_genomic.fna_genome,GCF_000175635.1_ASM17563v1_genomic.fna_genome,GCF_016127015.1_ASM1612701v1_genomic.fna_genome,GCF_016613425.1_ASM1661342v1_genomic.fna_genome,GCF_016728365.1_ASM1672836v1_genomic.fna_genome,GCF_016894265.1_ASM1689426v1_genomic.fna_genome,duplicate_Ctub_DM24A09_acroz.spades.pilon.fasta_genome
group_5070,,L-lactate permease,29,29,1.0,1,5744,,,,1647,1647,1647.0,MNDJGCBO_00356,BAEMFPOL_01121,IFBJDBIC_00134,IHDAGAJE_00804,JLHCMBLP_00323,AGJPCOND_01042,GAGKCNGK_00767,HPNOPOKD_00868,MPMPHDIC_00023,COKKGDBG_00131,OFMFJDLO_00227,EPECPEML_01339,BCPKOOPG_00817,MHAMJDNJ_00911,MHMDHDMK_00212,GOOOCOCF_01559,DOCAKEAD_00455,DFDDJIAG_01387,BIHKHIPM_00041,IDHDBNGA_00798,FABEFEHK_00174,LBJDDPHL_00377,KHKEEPKC_01379,KOIPOHFF_00601,BENEEMDG_01007,AKMLPEBN_01876,OPLPGAAK_02325,FIBDHPGH_01618,JFPKKDNC_00261
fmt~~~fmt_1,fmt;fmt_1,methionyl-tRNA formyltransferase,29,29,1.0,1,5743,,,,942,951,948.6206896551724,MNDJGCBO_00344,BAEMFPOL_01133,IFBJDBIC_00146,IHDAGAJE_00816,JLHCMBLP_00311,AGJPCOND_01030,GAGKCNGK_00779,HPNOPOKD_00856,MPMPHDIC_00035,COKKGDBG_00143,OFMFJDLO_00215,EPECPEML_01327,BCPKOOPG_00829,MHAMJDNJ_00899,MHMDHDMK_00200,GOOOCOCF_01571,DOCAKEAD_00467,DFDDJIAG_01399,BIHKHIPM_00053,IDHDBNGA_00786,FABEFEHK_00162,LBJDDPHL_00365,KHKEEPKC_01367,KOIPOHFF_00613,BENEEMDG_01019,AKMLPEBN_01888,OPLPGAAK_02337,FIBDHPGH_01606,JFPKKDNC_00249
uvrC,uvrC,excinuclease ABC subunit UvrC,29,29,1.0,1,5742,,,,2070,2076,2075.793103448276,MNDJGCBO_00352,BAEMFPOL_01125,IFBJDBIC_00138,IHDAGAJE_00808,JLHCMBLP_00319,AGJPCOND_01038,GAGKCNGK_00771,HPNOPOKD_00864,MPMPHDIC_00027,COKKGDBG_00135,OFMFJDLO_00223,EPECPEML_01335,BCPKOOPG_00821,MHAMJDNJ_00907,MHMDHDMK_00208,GOOOCOCF_01563,DOCAKEAD_00459,DFDDJIAG_01391,BIHKHIPM_00045,IDHDBNGA_00794,FABEFEHK_00170,LBJDDPHL_00373,KHKEEPKC_01375,KOIPOHFF_00605,BENEEMDG_01011,AKMLPEBN_01880,OPLPGAAK_02329,FIBDHPGH_01614,JFPKKDNC_00257
gap,gap,type I glyceraldehyde-3-phosphate dehydrogenase,29,29,1.0,1,5741,,,,1008,1008,1008.0,MNDJGCBO_00357,BAEMFPOL_01120,IFBJDBIC_00132,IHDAGAJE_00803,JLHCMBLP_00324,AGJPCOND_01043,GAGKCNGK_00766,HPNOPOKD_00869,MPMPHDIC_00022,COKKGDBG_00130,OFMFJDLO_00228,EPECPEML_01341,BCPKOOPG_00816,MHAMJDNJ_00913,MHMDHDMK_00213,GOOOCOCF_01558,DOCAKEAD_00454,DFDDJIAG_01386,BIHKHIPM_00040,IDHDBNGA_00799,FABEFEHK_00175,LBJDDPHL_00378,KHKEEPKC_01380,KOIPOHFF_00600,BENEEMDG_01006,AKMLPEBN_01875,OPLPGAAK_02324,FIBDHPGH_01619,JFPKKDNC_00263
moaC,moaC,cyclic pyranopterin monophosphate synthase MoaC,29,29,1.0,1,5740,,,,480,480,480.0,MNDJGCBO_01842,BAEMFPOL_00088,IFBJDBIC_01198,IHDAGAJE_00583,JLHCMBLP_01210,AGJPCOND_00248,GAGKCNGK_00822,HPNOPOKD_01969,MPMPHDIC_02263,COKKGDBG_00835,OFMFJDLO_01256,EPECPEML_00248,BCPKOOPG_00158,MHAMJDNJ_00384,MHMDHDMK_00693,GOOOCOCF_00806,DOCAKEAD_00103,DFDDJIAG_00282,BIHKHIPM_00577,IDHDBNGA_00299,FABEFEHK_00687,LBJDDPHL_00071,KHKEEPKC_00307,KOIPOHFF_01434,BENEEMDG_00716,AKMLPEBN_00127,OPLPGAAK_02044,FIBDHPGH_01896,JFPKKDNC_00481
group_5069,,MFS transporter,29,29,1.0,1,5739,,,,1353,1626,1535.3793103448277,MNDJGCBO_00345,BAEMFPOL_01132,IFBJDBIC_00145,IHDAGAJE_00815,JLHCMBLP_00312,AGJPCOND_01031,GAGKCNGK_00778,HPNOPOKD_00857,MPMPHDIC_00034,COKKGDBG_00142,OFMFJDLO_00216,EPECPEML_01328,BCPKOOPG_00828,MHAMJDNJ_00900,MHMDHDMK_00201,GOOOCOCF_01570,DOCAKEAD_00466,DFDDJIAG_01398,BIHKHIPM_00052,IDHDBNGA_00787,FABEFEHK_00163,LBJDDPHL_00366,KHKEEPKC_01368,KOIPOHFF_00612,BENEEMDG_01018,AKMLPEBN_01887,OPLPGAAK_02336,FIBDHPGH_01607,JFPKKDNC_00250
group_5068,,PH domain-containing protein,29,29,1.0,1,5738,,,,549,549,549.0,MNDJGCBO_00351,BAEMFPOL_01126,IFBJDBIC_00139,IHDAGAJE_00809,JLHCMBLP_00318,AGJPCOND_01037,GAGKCNGK_00772,HPNOPOKD_00863,MPMPHDIC_00028,COKKGDBG_00136,OFMFJDLO_00222,EPECPEML_01334,BCPKOOPG_00822,MHAMJDNJ_00906,MHMDHDMK_00207,GOOOCOCF_01564,DOCAKEAD_00460,DFDDJIAG_01392,BIHKHIPM_00046,IDHDBNGA_00793,FABEFEHK_00169,LBJDDPHL_00372,KHKEEPKC_01374,KOIPOHFF_00606,BENEEMDG_01012,AKMLPEBN_01881,OPLPGAAK_02330,FIBDHPGH_01613,JFPKKDNC_00256
group_5067,,phosphoglycerate kinase,29,29,1.0,1,5737,,,,1218,1218,1218.0,MNDJGCBO_00358,BAEMFPOL_01119,IFBJDBIC_00131,IHDAGAJE_00802,JLHCMBLP_00325,AGJPCOND_01044,GAGKCNGK_00765,HPNOPOKD_00870,MPMPHDIC_00021,COKKGDBG_00129,OFMFJDLO_00229,EPECPEML_01342,BCPKOOPG_00815,MHAMJDNJ_00914,MHMDHDMK_00214,GOOOCOCF_01557,DOCAKEAD_00453,DFDDJIAG_01385,BIHKHIPM_00039,IDHDBNGA_00800,FABEFEHK_00176,LBJDDPHL_00379,KHKEEPKC_01381,KOIPOHFF_00599,BENEEMDG_01005,AKMLPEBN_01874,OPLPGAAK_02323,FIBDHPGH_01620,JFPKKDNC_00264
group_5066,,molybdopterin molybdotransferase MoeA,29,29,1.0,1,5736,,,,1200,1263,1208.6896551724137,MNDJGCBO_01843,BAEMFPOL_00087,IFBJDBIC_01199,IHDAGAJE_00584,JLHCMBLP_01209,AGJPCOND_00249,GAGKCNGK_00821,HPNOPOKD_01968,MPMPHDIC_02262,COKKGDBG_00836,OFMFJDLO_01257,EPECPEML_00249,BCPKOOPG_00157,MHAMJDNJ_00385,MHMDHDMK_00694,GOOOCOCF_00807,DOCAKEAD_00104,DFDDJIAG_00283,BIHKHIPM_00578,IDHDBNGA_00300,FABEFEHK_00686,LBJDDPHL_00072,KHKEEPKC_00308,KOIPOHFF_01435,BENEEMDG_00717,AKMLPEBN_00128,OPLPGAAK_02045,FIBDHPGH_01895,JFPKKDNC_00480
group_5065,,phosphatidate cytidylyltransferase,29,29,1.0,1,5735,,,,879,930,887.6896551724138,MNDJGCBO_00152,BAEMFPOL_01893,IFBJDBIC_00351,IHDAGAJE_00128,JLHCMBLP_00103,AGJPCOND_00592,GAGKCNGK_00173,HPNOPOKD_00351,MPMPHDIC_00232,COKKGDBG_00336,OFMFJDLO_00022,EPECPEML_00555,BCPKOOPG_00542,MHAMJDNJ_00696,MHMDHDMK_01420,GOOOCOCF_00179,DOCAKEAD_00356,DFDDJIAG_00716,BIHKHIPM_01377,IDHDBNGA_01086,FABEFEHK_01812,LBJDDPHL_00428,KHKEEPKC_01181,KOIPOHFF_00816,BENEEMDG_01218,AKMLPEBN_01601,OPLPGAAK_00166,FIBDHPGH_01380,JFPKKDNC_00033
rpe,rpe,ribulose-phosphate 3-epimerase,29,29,1.0,1,5734,,,,669,738,682.3448275862069,MNDJGCBO_00346,BAEMFPOL_01131,IFBJDBIC_00144,IHDAGAJE_00814,JLHCMBLP_00313,AGJPCOND_01032,GAGKCNGK_00777,HPNOPOKD_00858,MPMPHDIC_00033,COKKGDBG_00141,OFMFJDLO_00217,EPECPEML_01329,BCPKOOPG_00827,MHAMJDNJ_00901,MHMDHDMK_00202,GOOOCOCF_01569,DOCAKEAD_00465,DFDDJIAG_01397,BIHKHIPM_00051,IDHDBNGA_00788,FABEFEHK_00164,LBJDDPHL_00367,KHKEEPKC_01369,KOIPOHFF_00611,BENEEMDG_01017,AKMLPEBN_01886,OPLPGAAK_02335,FIBDHPGH_01608,JFPKKDNC_00251
group_5064,,67-dimethyl-8-ribityllumazine synthase,29,29,1.0,1,5733,,,,474,480,479.7931034482759,MNDJGCBO_00350,BAEMFPOL_01127,IFBJDBIC_00140,IHDAGAJE_00810,JLHCMBLP_00317,AGJPCOND_01036,GAGKCNGK_00773,HPNOPOKD_00862,MPMPHDIC_00029,COKKGDBG_00137,OFMFJDLO_00221,EPECPEML_01333,BCPKOOPG_00823,MHAMJDNJ_00905,MHMDHDMK_00206,GOOOCOCF_01565,DOCAKEAD_00461,DFDDJIAG_01393,BIHKHIPM_00047,IDHDBNGA_00792,FABEFEHK_00168,LBJDDPHL_00371,KHKEEPKC_01373,KOIPOHFF_00607,BENEEMDG_01013,AKMLPEBN_01882,OPLPGAAK_02331,FIBDHPGH_01612,JFPKKDNC_00255
group_5063,,triose-phosphate isomerase,29,29,1.0,1,5732,,,,783,783,783.0,MNDJGCBO_00359,BAEMFPOL_01118,IFBJDBIC_00130,IHDAGAJE_00801,JLHCMBLP_00326,AGJPCOND_01045,GAGKCNGK_00764,HPNOPOKD_00871,MPMPHDIC_00020,COKKGDBG_00128,OFMFJDLO_00230,EPECPEML_01343,BCPKOOPG_00814,MHAMJDNJ_00915,MHMDHDMK_00215,GOOOCOCF_01556,DOCAKEAD_00452,DFDDJIAG_01384,BIHKHIPM_00038,IDHDBNGA_00801,FABEFEHK_00177,LBJDDPHL_00380,KHKEEPKC_01382,KOIPOHFF_00598,BENEEMDG_01004,AKMLPEBN_01873,OPLPGAAK_02322,FIBDHPGH_01621,JFPKKDNC_00265
moaA,moaA,GTP 3'8-cyclase MoaA,29,29,1.0,1,5731,,,,1110,1146,1118.2758620689656,MNDJGCBO_01844,BAEMFPOL_00086,IFBJDBIC_01200,IHDAGAJE_00585,JLHCMBLP_01208,AGJPCOND_00250,GAGKCNGK_00820,HPNOPOKD_01967,MPMPHDIC_02261,COKKGDBG_00837,OFMFJDLO_01258,EPECPEML_00250,BCPKOOPG_00156,MHAMJDNJ_00386,MHMDHDMK_00695,GOOOCOCF_00808,DOCAKEAD_00105,DFDDJIAG_00284,BIHKHIPM_00579,IDHDBNGA_00301,FABEFEHK_00685,LBJDDPHL_00073,KHKEEPKC_00309,KOIPOHFF_01436,BENEEMDG_00718,AKMLPEBN_00129,OPLPGAAK_02046,FIBDHPGH_01894,JFPKKDNC_00479
frr,frr,ribosome recycling factor,29,29,1.0,1,5730,,,,558,558,558.0,MNDJGCBO_00151,BAEMFPOL_01892,IFBJDBIC_00352,IHDAGAJE_00127,JLHCMBLP_00102,AGJPCOND_00591,GAGKCNGK_00174,HPNOPOKD_00350,MPMPHDIC_00233,COKKGDBG_00337,OFMFJDLO_00021,EPECPEML_00554,BCPKOOPG_00541,MHAMJDNJ_00695,MHMDHDMK_01421,GOOOCOCF_00180,DOCAKEAD_00357,DFDDJIAG_00717,BIHKHIPM_01378,IDHDBNGA_01085,FABEFEHK_01813,LBJDDPHL_00429,KHKEEPKC_01180,KOIPOHFF_00817,BENEEMDG_01219,AKMLPEBN_01600,OPLPGAAK_00167,FIBDHPGH_01379,JFPKKDNC_00032
ribD,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,29,29,1.0,1,5729,,,,1023,1035,1023.4137931034483,MNDJGCBO_00347,BAEMFPOL_01130,IFBJDBIC_00143,IHDAGAJE_00813,JLHCMBLP_00314,AGJPCOND_01033,GAGKCNGK_00776,HPNOPOKD_00859,MPMPHDIC_00032,COKKGDBG_00140,OFMFJDLO_00218,EPECPEML_01330,BCPKOOPG_00826,MHAMJDNJ_00902,MHMDHDMK_00203,GOOOCOCF_01568,DOCAKEAD_00464,DFDDJIAG_01396,BIHKHIPM_00050,IDHDBNGA_00789,FABEFEHK_00165,LBJDDPHL_00368,KHKEEPKC_01370,KOIPOHFF_00610,BENEEMDG_01016,AKMLPEBN_01885,OPLPGAAK_02334,FIBDHPGH_01609,JFPKKDNC_00252
group_5062,,bifunctional 34-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II,29,29,1.0,1,5728,,,,1260,1278,1263.0,MNDJGCBO_00349,BAEMFPOL_01128,IFBJDBIC_00141,IHDAGAJE_00811,JLHCMBLP_00316,AGJPCOND_01035,GAGKCNGK_00774,HPNOPOKD_00861,MPMPHDIC_00030,COKKGDBG_00138,OFMFJDLO_00220,EPECPEML_01332,BCPKOOPG_00824,MHAMJDNJ_00904,MHMDHDMK_00205,GOOOCOCF_01566,DOCAKEAD_00462,DFDDJIAG_01394,BIHKHIPM_00048,IDHDBNGA_00791,FABEFEHK_00167,LBJDDPHL_00370,KHKEEPKC_01372,KOIPOHFF_00608,BENEEMDG_01014,AKMLPEBN_01883,OPLPGAAK_02332,FIBDHPGH_01611,JFPKKDNC_00254
group_5060,,energy-coupling factor transporter transmembrane protein EcfT,29,29,1.0,1,5726,,,,693,693,693.0,MNDJGCBO_01530,BAEMFPOL_01706,IFBJDBIC_00103,IHDAGAJE_00774,JLHCMBLP_00353,AGJPCOND_01072,GAGKCNGK_00737,HPNOPOKD_01653,MPMPHDIC_02338,COKKGDBG_00101,OFMFJDLO_00257,EPECPEML_01370,BCPKOOPG_00787,MHAMJDNJ_00942,MHMDHDMK_00242,GOOOCOCF_01529,DOCAKEAD_00425,DFDDJIAG_01357,BIHKHIPM_00011,IDHDBNGA_00828,FABEFEHK_00204,LBJDDPHL_00407,KHKEEPKC_01409,KOIPOHFF_00571,BENEEMDG_00977,AKMLPEBN_01846,OPLPGAAK_02295,FIBDHPGH_01648,JFPKKDNC_00292
secG,secG,preprotein translocase subunit SecG,29,29,1.0,1,5725,,,,234,237,234.10344827586206,MNDJGCBO_00360,BAEMFPOL_01117,IFBJDBIC_00129,IHDAGAJE_00800,JLHCMBLP_00327,AGJPCOND_01046,GAGKCNGK_00763,HPNOPOKD_00872,MPMPHDIC_00019,COKKGDBG_00127,OFMFJDLO_00231,EPECPEML_01344,BCPKOOPG_00813,MHAMJDNJ_00916,MHMDHDMK_00216,GOOOCOCF_01555,DOCAKEAD_00451,DFDDJIAG_01383,BIHKHIPM_00037,IDHDBNGA_00802,FABEFEHK_00178,LBJDDPHL_00381,KHKEEPKC_01383,KOIPOHFF_00597,BENEEMDG_01003,AKMLPEBN_01872,OPLPGAAK_02321,FIBDHPGH_01622,JFPKKDNC_00266
group_5059,,long-chain fatty-acid--CoA ligase,29,29,1.0,1,5724,,,,651,1788,1704.8275862068965,MNDJGCBO_01845,BAEMFPOL_00085,IFBJDBIC_01201,IHDAGAJE_00586,JLHCMBLP_01207,AGJPCOND_00251,GAGKCNGK_00819,HPNOPOKD_01966,MPMPHDIC_02260,COKKGDBG_00838,OFMFJDLO_01259,EPECPEML_00251,BCPKOOPG_00155,MHAMJDNJ_00387,MHMDHDMK_00696,GOOOCOCF_00809,DOCAKEAD_00106,DFDDJIAG_00285,BIHKHIPM_00580,IDHDBNGA_00302,FABEFEHK_00684,LBJDDPHL_00074,KHKEEPKC_00310,KOIPOHFF_01437,BENEEMDG_00719,AKMLPEBN_00130,OPLPGAAK_02047,FIBDHPGH_01893,JFPKKDNC_00478
