query	counts	COG_category
group_2238	5	O
group_361	4	P
group_633	3	M
group_515	4	J
group_3992	3	T
group_3950	3	T
group_3595	3	T
resA	3	O
group_1795	3	M
group_1672	3	M
group_1001	3	O
pksJ	3	Q
group_4828	2	M
group_4817	2	J
group_4694	2	M
group_3805	2	M
group_3800	2	L
group_3740	2	T
group_3619	2	J
group_3521	2	Q
group_2345	2	T
group_1910	2	P
group_1790	2	M
group_1787	2	P
group_1758	2	M
group_1744	2	M
group_1653	2	M
group_1616	2	M
group_1275	2	J
group_984	2	Q
cypB	2	Q
tylN	1	G
group_5694	1	U
group_5685	1	H
group_5675	1	W
group_5660	1	U
group_5604	1	O
ilvX	1	H
group_5531	1	T
group_5527	1	W
group_5470	1	H
group_5258	1	T
group_5189	1	P
dprA_1	1	U
group_5174	1	L
group_5105	1	Q
group_3495	1	J
group_2965	1	L
group_2842	1	Q
group_2129	1	J
group_1990	1	T
group_1841	1	J
group_1784	1	M
group_1768	1	M
group_1761	1	M
group_1759	1	M
group_1675	1	L
group_1663	1	G
group_1621	1	H
group_1614	1	M
group_1369	1	J
group_1244	1	T
group_1081	1	T
clpP	1	U
group_1027	1	T
group_989	1	Q
group_987	1	H
group_845	1	L
group_474	1	L
group_378	1	L
group_376	1	L
group_370	1	L
